N (kg/ha),P(kg/ha),K(kg/ha),pH,Humidity(%),Temperature(°C),Rainfall(mm),Crop Yield(kg/ha),District,Soil Type,Crop Name
44.5,22.75,30.5,4.3,64.25,18.875,1328.75,1131.25,Siliguri,Red and Laterite Soil,Turmeric
41.5,21.25,27.5,4.15,61.75,17.625,1293.75,1075,Siliguri,Red and Laterite Soil,Turmeric
49.5,25,33,4.55,65.75,20.125,1415.625,1225,Siliguri,Red and Laterite Soil,Turmeric
47.5,23.75,31,4.45,64,19.125,1403.125,1162.5,Siliguri,Red and Laterite Soil,Turmeric
43.5,22.25,29.5,4.25,63.25,18.75,1318.75,1125,Siliguri,Red and Laterite Soil,Turmeric
45.5,23.25,30.5,4.3,64.25,19.25,1353.125,1150,Siliguri,Red and Laterite Soil,Turmeric
42,21,28,4.2,62,18,1300,1100,Siliguri,Red and Laterite Soil,Turmeric
45,23,30,4.3,64,19,1350,1150,Siliguri,Red and Laterite Soil,Turmeric
40,20,26,4.1,60,17,1280,1050,Siliguri,Red and Laterite Soil,Turmeric
48,24,32,4.5,65,20,1400,1200,Siliguri,Red and Laterite Soil,Turmeric
46,22,30,4.4,63,19,1380,1150,Siliguri,Red and Laterite Soil,Turmeric
42.5,21.25,28.5,4.25,62.5,18.125,1306.25,1106.25,Siliguri,Red and Laterite Soil,Turmeric
44.5,22.75,30.5,4.3,64.25,18.875,1328.75,1131.25,Siliguri,Red and Laterite Soil,Turmeric
41.5,21.25,27.5,4.15,61.75,17.625,1293.75,1075,Siliguri,Red and Laterite Soil,Turmeric
49.5,25,33,4.55,65.75,20.125,1415.625,1225,Siliguri,Red and Laterite Soil,Turmeric
47.5,23.75,31,4.45,64,19.125,1403.125,1162.5,Siliguri,Red and Laterite Soil,Turmeric
43.5,22.25,29.5,4.25,63.25,18.75,1318.75,1125,Siliguri,Red and Laterite Soil,Turmeric
45.5,23.25,30.5,4.3,64.25,19.25,1353.125,1150,Siliguri,Red and Laterite Soil,Turmeric
42,21,28,4.2,62,18,1300,1100,Siliguri,Red and Laterite Soil,Turmeric
45,23,30,4.3,64,19,1350,1150,Siliguri,Red and Laterite Soil,Turmeric
40,20,26,4.1,60,17,1280,1050,Siliguri,Red and Laterite Soil,Turmeric
48,24,32,4.5,65,20,1400,1200,Siliguri,Red and Laterite Soil,Turmeric
46,22,30,4.4,63,19,1380,1150,Siliguri,Red and Laterite Soil,Turmeric
42.5,21.25,28.5,4.25,62.5,18.125,1306.25,1106.25,Siliguri,Red and Laterite Soil,Turmeric
44.5,22.75,30.5,4.3,64.25,18.875,1328.75,1131.25,Siliguri,Red and Laterite Soil,Turmeric
41.5,21.25,27.5,4.15,61.75,17.625,1293.75,1075,Siliguri,Red and Laterite Soil,Turmeric
49.5,25,33,4.55,65.75,20.125,1415.625,1225,Siliguri,Red and Laterite Soil,Turmeric
47.5,23.75,31,4.45,64,19.125,1403.125,1162.5,Siliguri,Red and Laterite Soil,Turmeric
43.5,22.25,29.5,4.25,63.25,18.75,1318.75,1125,Siliguri,Red and Laterite Soil,Turmeric
45.5,23.25,30.5,4.3,64.25,19.25,1353.125,1150,Siliguri,Red and Laterite Soil,Turmeric
49,24.5,32.5,4.55,65.5,20.5,1410,1205,Siliguri,Red and Laterite Soil,Guava
51,26.5,34.5,4.65,67.5,21.5,1430,1255,Siliguri,Red and Laterite Soil,Guava
47,22.5,30.5,4.45,63.5,19.5,1390,1155,Siliguri,Red and Laterite Soil,Guava
56,28.5,38.5,4.75,68.5,22.5,1510,1305,Siliguri,Red and Laterite Soil,Guava
53,26.5,36.5,4.65,66.5,21.5,1490,1255,Siliguri,Red and Laterite Soil,Guava
48.5,24.25,32.25,4.55,65.25,20.25,1405,1202.5,Siliguri,Red and Laterite Soil,Guava
50.5,26.25,34.25,4.65,67.25,21.25,1425,1252.5,Siliguri,Red and Laterite Soil,Guava
46.5,22.25,30.25,4.45,63.25,19.25,1385,1152.5,Siliguri,Red and Laterite Soil,Guava
55.5,28.25,38.25,4.75,68.25,22.25,1505,1302.5,Siliguri,Red and Laterite Soil,Guava
52.5,26.25,36.25,4.65,66.25,21.25,1485,1252.5,Siliguri,Red and Laterite Soil,Guava
49,24.5,32.5,4.55,65.5,20.5,1410,1205,Siliguri,Red and Laterite Soil,Guava
51,26.5,34.5,4.65,67.5,21.5,1430,1255,Siliguri,Red and Laterite Soil,Guava
47,22.5,30.5,4.45,63.5,19.5,1390,1155,Siliguri,Red and Laterite Soil,Guava
56,28.5,38.5,4.75,68.5,22.5,1510,1305,Siliguri,Red and Laterite Soil,Guava
53,26.5,36.5,4.65,66.5,21.5,1490,1255,Siliguri,Red and Laterite Soil,Guava
48.5,24.25,32.25,4.55,65.25,20.25,1405,1202.5,Siliguri,Red and Laterite Soil,Guava
50.5,26.25,34.25,4.65,67.25,21.25,1425,1252.5,Siliguri,Red and Laterite Soil,Guava
46.5,22.25,30.25,4.45,63.25,19.25,1385,1152.5,Siliguri,Red and Laterite Soil,Guava
55.5,28.25,38.25,4.75,68.25,22.25,1505,1302.5,Siliguri,Red and Laterite Soil,Guava
52.5,26.25,36.25,4.65,66.25,21.25,1485,1252.5,Siliguri,Red and Laterite Soil,Guava
49,24.5,32.5,4.55,65.5,20.5,1410,1205,Siliguri,Red and Laterite Soil,Guava
51,26.5,34.5,4.65,67.5,21.5,1430,1255,Siliguri,Red and Laterite Soil,Guava
47,22.5,30.5,4.45,63.5,19.5,1390,1155,Siliguri,Red and Laterite Soil,Guava
56,28.5,38.5,4.75,68.5,22.5,1510,1305,Siliguri,Red and Laterite Soil,Guava
53,26.5,36.5,4.65,66.5,21.5,1490,1255,Siliguri,Red and Laterite Soil,Guava
48.5,24.25,32.25,4.55,65.25,20.25,1405,1202.5,Siliguri,Red and Laterite Soil,Guava
50.5,26.25,34.25,4.65,67.25,21.25,1425,1252.5,Siliguri,Red and Laterite Soil,Guava
46.5,22.25,30.25,4.45,63.25,19.25,1385,1152.5,Siliguri,Red and Laterite Soil,Guava
55.5,28.25,38.25,4.75,68.25,22.25,1505,1302.5,Siliguri,Red and Laterite Soil,Guava
52.5,26.25,36.25,4.65,66.25,21.25,1485,1252.5,Siliguri,Red and Laterite Soil,Guava
49,24.5,32.5,4.55,65.5,20.5,1410,1205,Siliguri,Red and Laterite Soil,Guava
51,26.5,34.5,4.65,67.5,21.5,1430,1255,Siliguri,Red and Laterite Soil,Guava
47,22.5,30.5,4.45,63.5,19.5,1390,1155,Siliguri,Red and Laterite Soil,Guava
56,28.5,38.5,4.75,68.5,22.5,1510,1305,Siliguri,Red and Laterite Soil,Guava
53,26.5,36.5,4.65,66.5,21.5,1490,1255,Siliguri,Red and Laterite Soil,Guava
48.5,24.25,32.25,4.55,65.25,20.25,1405,1202.5,Siliguri,Red and Laterite Soil,Guava
50.5,26.25,34.25,4.65,67.25,21.25,1425,1252.5,Siliguri,Red and Laterite Soil,Guava
46.5,22.25,30.25,4.45,63.25,19.25,1385,1152.5,Siliguri,Red and Laterite Soil,Guava
55.5,28.25,38.25,4.75,68.25,22.25,1505,1302.5,Siliguri,Red and Laterite Soil,Guava
52.5,26.25,36.25,4.65,66.25,21.25,1485,1252.5,Siliguri,Red and Laterite Soil,Guava
56,28.5,38.5,4.75,68.5,22.5,1510,1305,Siliguri,Red and Laterite Soil,Pineapples
59,30.5,40.5,4.85,70.5,23.5,1530,1355,Siliguri,Red and Laterite Soil,Pineapples
53,26.5,36.5,4.65,66.5,21.5,1490,1255,Siliguri,Red and Laterite Soil,Pineapples
61,32.5,42.5,4.95,72.5,24.5,1570,1405,Siliguri,Red and Laterite Soil,Pineapples
66,35.5,46.5,5.05,74.5,25.5,1610,1455,Siliguri,Red and Laterite Soil,Pineapples
57.5,29,39,4.75,69,22.25,1515,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59.5,30.25,40.25,4.85,70.25,23.25,1535,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53.5,26.25,36.25,4.65,66.25,21.25,1495,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61.5,32.25,42.25,4.95,72.25,24.25,1575,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66.5,35.25,46.25,5.05,74.25,25.25,1615,1452.5,Siliguri,Red and Laterite Soil,Pineapples
57,29,39,4.75,69,22.25,1510,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59,30,40,4.85,70,23,1530,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53,26,36,4.65,66,21,1490,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61,32,42,4.95,72,24,1570,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66,35,46,5.05,74,25,1610,1452.5,Siliguri,Red and Laterite Soil,Pineapples
57.5,29.25,39.25,4.75,69.25,22.25,1515,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59.5,30.5,40.5,4.85,70.5,23.5,1535,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53.5,26.25,36.25,4.65,66.25,21.25,1495,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61.5,32.25,42.25,4.95,72.25,24.25,1575,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66.5,35.25,46.25,5.05,74.25,25.25,1615,1452.5,Siliguri,Red and Laterite Soil,Pineapples
57,29,39,4.75,69,22.25,1510,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59,30,40,4.85,70,23,1530,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53,26,36,4.65,66,21,1490,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61,32,42,4.95,72,24,1570,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66,35,46,5.05,74,25,1610,1452.5,Siliguri,Red and Laterite Soil,Pineapples
57.5,29.25,39.25,4.75,69.25,22.25,1515,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59.5,30.5,40.5,4.85,70.5,23.5,1535,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53.5,26.25,36.25,4.65,66.25,21.25,1495,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61.5,32.25,42.25,4.95,72.25,24.25,1575,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66.5,35.25,46.25,5.05,74.25,25.25,1615,1452.5,Siliguri,Red and Laterite Soil,Pineapples
57,29,39,4.75,69,22.25,1510,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59,30,40,4.85,70,23,1530,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53,26,36,4.65,66,21,1490,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61,32,42,4.95,72,24,1570,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66,35,46,5.05,74,25,1610,1452.5,Siliguri,Red and Laterite Soil,Pineapples
57.5,29.25,39.25,4.75,69.25,22.25,1515,1302.5,Siliguri,Red and Laterite Soil,Pineapples
59.5,30.5,40.5,4.85,70.5,23.5,1535,1352.5,Siliguri,Red and Laterite Soil,Pineapples
53.5,26.25,36.25,4.65,66.25,21.25,1495,1252.5,Siliguri,Red and Laterite Soil,Pineapples
61.5,32.25,42.25,4.95,72.25,24.25,1575,1402.5,Siliguri,Red and Laterite Soil,Pineapples
66.5,35.25,46.25,5.05,74.25,25.25,1615,1452.5,Siliguri,Red and Laterite Soil,Pineapples
71,35.5,46.5,5.05,75.5,23.5,1605,1455,Siliguri,Red and Laterite Soil,Oranges
69,33.5,44.5,4.95,73.5,25.5,1585,1425,Siliguri,Red and Laterite Soil,Oranges
73,36.5,48.5,5.25,76.5,26.5,1625,1485,Siliguri,Red and Laterite Soil,Oranges
76,38.5,50.5,5.35,78.5,24.5,1685,1555,Siliguri,Red and Laterite Soil,Oranges
79,40.5,52.5,5.45,80.5,23.5,1725,1605,Siliguri,Red and Laterite Soil,Oranges
70.5,35.25,46.25,5.025,75.25,23.25,1602.5,1452.5,Siliguri,Red and Laterite Soil,Oranges
68.5,33.25,44.25,4.925,73.25,25.25,1582.5,1422.5,Siliguri,Red and Laterite Soil,Oranges
72.5,36.25,48.25,5.225,76.25,26.25,1622.5,1482.5,Siliguri,Red and Laterite Soil,Oranges
75.5,38.25,50.25,5.325,78.25,24.25,1682.5,1552.5,Siliguri,Red and Laterite Soil,Oranges
78.5,40.25,52.25,5.425,80.25,23.25,1722.5,1602.5,Siliguri,Red and Laterite Soil,Oranges
70,35,46,5,75,23,1600,1450,Siliguri,Red and Laterite Soil,Oranges
68,33,44,4.9,73,25,1580,1420,Siliguri,Red and Laterite Soil,Oranges
72,36,48,5.2,76,26,1620,1480,Siliguri,Red and Laterite Soil,Oranges
75,38,50,5.3,78,24,1680,1550,Siliguri,Red and Laterite Soil,Oranges
78,40,52,5.4,80,23,1720,1600,Siliguri,Red and Laterite Soil,Oranges
70.5,35.25,46.25,5.025,75.25,23.25,1602.5,1452.5,Siliguri,Red and Laterite Soil,Oranges
68.5,33.25,44.25,4.925,73.25,25.25,1582.5,1422.5,Siliguri,Red and Laterite Soil,Oranges
72.5,36.25,48.25,5.225,76.25,26.25,1622.5,1482.5,Siliguri,Red and Laterite Soil,Oranges
75.5,38.25,50.25,5.325,78.25,24.25,1682.5,1552.5,Siliguri,Red and Laterite Soil,Oranges
78.5,40.25,52.25,5.425,80.25,23.25,1722.5,1602.5,Siliguri,Red and Laterite Soil,Oranges
69.5,34,45.5,4.95,74.5,24,1590,1435,Siliguri,Red and Laterite Soil,Oranges
70.5,35.5,46.5,5.05,75.5,23.5,1605,1455,Siliguri,Red and Laterite Soil,Oranges
67.8,32.5,43.8,4.85,72.8,24.5,1573,1411,Siliguri,Red and Laterite Soil,Oranges
72.3,36.7,47.2,5.15,76.3,26.3,1623,1488,Siliguri,Red and Laterite Soil,Oranges
74.9,38.2,49.7,5.25,78.9,23.9,1684,1559,Siliguri,Red and Laterite Soil,Oranges
77.4,39.6,51.1,5.35,80.4,22.9,1724,1605,Siliguri,Red and Laterite Soil,Oranges
68.5,33.2,44.3,4.95,73.5,25.2,1582,1423,Siliguri,Red and Laterite Soil,Oranges
71.1,35.7,46.8,5.05,75.7,23.7,1608,1458,Siliguri,Red and Laterite Soil,Oranges
67.4,32.1,43.6,4.85,72.4,24.8,1568,1413,Siliguri,Red and Laterite Soil,Oranges
72.7,37.2,47.7,5.15,76.7,26.7,1627,1492,Siliguri,Red and Laterite Soil,Oranges
75.3,38.7,50.2,5.25,79.3,24.3,1688,1563,Siliguri,Red and Laterite Soil,Oranges
77.8,40.1,51.7,5.35,81.1,23.3,1728,1608,Siliguri,Red and Laterite Soil,Oranges
68.2,33.4,44.2,4.95,73.3,25.4,1584,1421,Siliguri,Red and Laterite Soil,Oranges
71.8,36.9,47.3,5.05,75.8,24.2,1612,1456,Siliguri,Red and Laterite Soil,Oranges
67.1,32.7,43.9,4.85,72.6,24.6,1570,1414,Siliguri,Red and Laterite Soil,Oranges
72.4,37.7,47.9,5.15,76.8,27.2,1631,1494,Siliguri,Red and Laterite Soil,Oranges
74.9,39.2,50.4,5.25,79.1,24.6,1692,1566,Siliguri,Red and Laterite Soil,Oranges
77.5,40.6,51.9,5.35,81.3,23.6,1732,1610,Siliguri,Red and Laterite Soil,Oranges
68.3,33.5,44.1,4.95,73.4,25.3,1583,1422,Siliguri,Red and Laterite Soil,Oranges
71.9,37,47.2,5.05,75.9,24.1,1613,1457,Siliguri,Red and Laterite Soil,Oranges
67.2,32.8,43.8,4.85,72.7,24.5,1571,1415,Siliguri,Red and Laterite Soil,Oranges
72.5,38,47.8,5.15,77,27,1632,1495,Siliguri,Red and Laterite Soil,Oranges
75.1,39.5,50.5,5.25,79.2,24.5,1693,1567,Siliguri,Red and Laterite Soil,Oranges
77.6,40.8,52,5.35,81.4,23.7,1733,1611,Siliguri,Red and Laterite Soil,Oranges
68.4,33.6,44,4.95,73.6,25.2,1582,1423,Siliguri,Red and Laterite Soil,Oranges
72,37.2,47,5.05,76,24,1610,1455,Siliguri,Red and Laterite Soil,Oranges
67.3,32.9,43.7,4.85,72.8,24.4,1572,1416,Siliguri,Red and Laterite Soil,Oranges
72.6,38.2,47.6,5.15,77.2,27.4,1633,1496,Siliguri,Red and Laterite Soil,Oranges
75.2,39.6,50.6,5.25,79.3,24.4,1694,1568,Siliguri,Red and Laterite Soil,Oranges
77.7,41,52.1,5.35,81.5,23.8,1734,1612,Siliguri,Red and Laterite Soil,Oranges
68.5,33.7,43.9,4.95,73.7,25.1,1581,1424,Siliguri,Red and Laterite Soil,Oranges
72.1,37.5,47.1,5.05,76.2,24.5,1611,1456,Siliguri,Red and Laterite Soil,Oranges
67.4,33,43.6,4.85,72.9,24.3,1573,1417,Siliguri,Red and Laterite Soil,Oranges
72.7,38.4,47.4,5.15,77.4,27.6,1634,1497,Siliguri,Red and Laterite Soil,Oranges
75.3,39.8,50.7,5.25,79.4,24.3,1695,1569,Siliguri,Red and Laterite Soil,Oranges
77.8,41.2,52.2,5.35,81.6,23.9,1735,1613,Siliguri,Red and Laterite Soil,Oranges
68.6,33.8,43.8,4.95,73.8,25,1580,1425,Siliguri,Red and Laterite Soil,Oranges
72.2,37.8,47.3,5.05,76.4,24.6,1612,1457,Siliguri,Red and Laterite Soil,Oranges
67.5,33.1,43.5,4.85,73,24.2,1574,1418,Siliguri,Red and Laterite Soil,Oranges
72.8,38.6,47.2,5.15,77.6,27.8,1635,1498,Siliguri,Red and Laterite Soil,Oranges
75.4,40,50.8,5.25,79.5,24.2,1696,1570,Siliguri,Red and Laterite Soil,Oranges
77.9,41.4,52.3,5.35,81.7,24,1736,1614,Siliguri,Red and Laterite Soil,Oranges
120,60,80,5.8,82,26,1850,1750,Siliguri,Red and Laterite Soil,Potato
110,55,75,5.7,81,25,1820,1680,Siliguri,Red and Laterite Soil,Potato
125,62,85,5.8,83,27,1880,1800,Siliguri,Red and Laterite Soil,Potato
130,65,90,6,86,28,1920,1850,Siliguri,Red and Laterite Soil,Potato
115,58,78,5.6,80,24,1800,1700,Siliguri,Red and Laterite Soil,Potato
122,61,82,5.9,84,27,1860,1760,Siliguri,Red and Laterite Soil,Potato
112,56,77,5.6,79,26,1830,1690,Siliguri,Red and Laterite Soil,Potato
127,63,87,5.9,85,28,1890,1810,Siliguri,Red and Laterite Soil,Potato
132,66,92,6.1,88,29,1930,1860,Siliguri,Red and Laterite Soil,Potato
117,59,79,5.7,81,25,1810,1710,Siliguri,Red and Laterite Soil,Potato
123,62,83,6,84,27,1870,1770,Siliguri,Red and Laterite Soil,Potato
113,57,78,5.6,80,26,1840,1700,Siliguri,Red and Laterite Soil,Potato
128,64,88,5.9,86,28,1900,1820,Siliguri,Red and Laterite Soil,Potato
133,67,93,6.1,89,29,1940,1870,Siliguri,Red and Laterite Soil,Potato
118,59,80,5.7,81,25,1820,1720,Siliguri,Red and Laterite Soil,Potato
124,63,84,6,85,27,1880,1780,Siliguri,Red and Laterite Soil,Potato
114,57,79,5.6,80,26,1850,1710,Siliguri,Red and Laterite Soil,Potato
129,65,89,5.9,87,28,1910,1830,Siliguri,Red and Laterite Soil,Potato
134,68,94,6.2,90,30,1950,1880,Siliguri,Red and Laterite Soil,Potato
119,60,81,5.8,82,26,1830,1730,Siliguri,Red and Laterite Soil,Potato
125,62,85,6,84,27,1890,1790,Siliguri,Red and Laterite Soil,Potato
115,58,80,5.7,81,25,1810,1710,Siliguri,Red and Laterite Soil,Potato
120,60,82,5.9,83,27,1860,1760,Siliguri,Red and Laterite Soil,Potato
110,55,76,5.6,80,26,1830,1690,Siliguri,Red and Laterite Soil,Potato
126,63,86,6,85,27,1890,1800,Siliguri,Red and Laterite Soil,Potato
131,66,91,6.1,88,29,1930,1850,Siliguri,Red and Laterite Soil,Potato
116,59,79,5.7,81,25,1820,1720,Siliguri,Red and Laterite Soil,Potato
122,61,83,5.9,84,27,1870,1770,Siliguri,Red and Laterite Soil,Potato
112,56,78,5.6,80,26,1840,1700,Siliguri,Red and Laterite Soil,Potato
127,64,87,6,86,28,1900,1810,Siliguri,Red and Laterite Soil,Potato
132,67,92,6.1,89,29,1940,1860,Siliguri,Red and Laterite Soil,Potato
117,59,80,5.7,81,25,1830,1730,Siliguri,Red and Laterite Soil,Potato
123,63,84,6,85,27,1890,1780,Siliguri,Red and Laterite Soil,Potato
113,57,79,5.6,80,26,1850,1710,Siliguri,Red and Laterite Soil,Potato
128,65,88,6,87,28,1910,1820,Siliguri,Red and Laterite Soil,Potato
133,68,93,6.1,90,30,1950,1870,Siliguri,Red and Laterite Soil,Potato
118,60,81,5.8,82,26,1830,1740,Siliguri,Red and Laterite Soil,Potato
124,63,85,6,84,27,1890,1790,Siliguri,Red and Laterite Soil,Potato
114,57,80,5.6,80,26,1850,1720,Siliguri,Red and Laterite Soil,Potato
129,65,89,6,87,28,1910,1830,Siliguri,Red and Laterite Soil,Potato
134,68,94,6.1,90,30,1950,1880,Siliguri,Red and Laterite Soil,Potato
96,47,66,5.6,84,26,1890,1840,Siliguri,Red and Laterite Soil,Maize
102,51,70,5.7,83,25,1870,1770,Siliguri,Red and Laterite Soil,Maize
90,44,60,5.4,81,27,1940,1910,Siliguri,Red and Laterite Soil,Maize
108,54,74,5.7,85,28,1990,1980,Siliguri,Red and Laterite Soil,Maize
98,49,69,5.6,85,26,1900,1860,Siliguri,Red and Laterite Soil,Maize
104,53,71,5.7,84,25,1880,1790,Siliguri,Red and Laterite Soil,Maize
93,46,63,5.5,82,27,1950,1930,Siliguri,Red and Laterite Soil,Maize
111,56,76,5.7,86,28,2000,2010,Siliguri,Red and Laterite Soil,Maize
101,50,71,5.8,83,24,1800,1710,Siliguri,Red and Laterite Soil,Maize
97,48,67,5.6,84,26,1890,1850,Siliguri,Red and Laterite Soil,Maize
103,52,71,5.7,83,25,1870,1780,Siliguri,Red and Laterite Soil,Maize
91,45,61,5.5,81,27,1940,1920,Siliguri,Red and Laterite Soil,Maize
109,55,75,5.7,85,28,1990,1990,Siliguri,Red and Laterite Soil,Maize
99,49,69,5.6,85,26,1900,1860,Siliguri,Red and Laterite Soil,Maize
105,53,71,5.7,84,25,1880,1790,Siliguri,Red and Laterite Soil,Maize
94,46,64,5.5,82,27,1950,1930,Siliguri,Red and Laterite Soil,Maize
112,56,77,5.7,86,28,2000,2010,Siliguri,Red and Laterite Soil,Maize
102,51,70,5.7,83,25,1870,1770,Siliguri,Red and Laterite Soil,Maize
100,50,70,5.8,83,24,1800,1700,Siliguri,Red and Laterite Soil,Maize
96,48,66,5.6,84,26,1890,1850,Siliguri,Red and Laterite Soil,Maize
103,52,71,5.7,83,25,1870,1780,Siliguri,Red and Laterite Soil,Maize
91,45,61,5.5,81,27,1940,1920,Siliguri,Red and Laterite Soil,Maize
109,55,75,5.7,85,28,1990,1990,Siliguri,Red and Laterite Soil,Maize
99,49,69,5.6,85,26,1900,1860,Siliguri,Red and Laterite Soil,Maize
106,53,73,5.7,84,25,1880,1800,Siliguri,Red and Laterite Soil,Maize
95,47,65,5.6,82,27,1950,1940,Siliguri,Red and Laterite Soil,Maize
113,57,78,5.7,86,28,2010,2020,Siliguri,Red and Laterite Soil,Maize
103,52,71,5.7,83,25,1870,1780,Siliguri,Red and Laterite Soil,Maize
101,50,70,5.8,83,24,1800,1700,Siliguri,Red and Laterite Soil,Maize
97,48,67,5.6,84,26,1890,1850,Siliguri,Red and Laterite Soil,Maize
104,52,72,5.7,83,25,1870,1790,Siliguri,Red and Laterite Soil,Maize
92,45,61,5.5,81,27,1940,1920,Siliguri,Red and Laterite Soil,Maize
110,55,75,5.7,85,28,1990,1990,Siliguri,Red and Laterite Soil,Maize
100,50,70,5.8,83,24,1800,1700,Siliguri,Red and Laterite Soil,Maize
98,48,68,5.6,85,26,1900,1860,Siliguri,Red and Laterite Soil,Maize
105,53,72,5.7,84,25,1880,1790,Siliguri,Red and Laterite Soil,Maize
93,46,62,5.5,82,27,1950,1930,Siliguri,Red and Laterite Soil,Maize
111,56,76,5.7,86,28,2000,2010,Siliguri,Red and Laterite Soil,Maize
101,51,71,5.8,83,25,1800,1710,Siliguri,Red and Laterite Soil,Maize
99,49,69,5.6,85,26,1900,1860,Siliguri,Red and Laterite Soil,Maize
106,53,73,5.7,84,25,1880,1800,Siliguri,Red and Laterite Soil,Maize
94,47,65,5.6,82,27,1950,1940,Siliguri,Red and Laterite Soil,Maize
112,57,77,5.7,86,28,2010,2020,Siliguri,Red and Laterite Soil,Maize
98,48,68,5.6,85,26,1900,1850,Siliguri,Red and Laterite Soil,Maize
105,52,72,5.7,84,25,1880,1780,Siliguri,Red and Laterite Soil,Maize
92,45,62,5.5,82,27,1950,1920,Siliguri,Red and Laterite Soil,Maize
110,55,75,5.7,86,28,2000,2000,Siliguri,Red and Laterite Soil,Maize
100,50,70,5.8,83,24,1800,1700,Siliguri,Red and Laterite Soil,Maize
85,40,52,5.3,81,23,1750,1600,Siliguri,Red and Laterite Soil,Tea
80,38,50,5.2,79,25,1700,1550,Siliguri,Red and Laterite Soil,Tea
88,44,58,5.5,82,27,1780,1650,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
85,39,51,5.2,81,23,1760,1610,Siliguri,Red and Laterite Soil,Tea
88,43,57,5.4,82,27,1790,1640,Siliguri,Red and Laterite Soil,Tea
82,40,54,5.4,80,26,1720,1580,Siliguri,Red and Laterite Soil,Tea
86,41,53,5.3,82,23,1770,1620,Siliguri,Red and Laterite Soil,Tea
81,39,51,5.2,80,25,1720,1570,Siliguri,Red and Laterite Soil,Tea
89,45,59,5.5,83,27,1800,1660,Siliguri,Red and Laterite Soil,Tea
83,41,55,5.4,81,26,1740,1590,Siliguri,Red and Laterite Soil,Tea
87,42,56,5.5,82,24,1780,1630,Siliguri,Red and Laterite Soil,Tea
84,40,53,5.3,80,25,1730,1580,Siliguri,Red and Laterite Soil,Tea
