N (kg/ha),P (kg/ha),K (kg/ha),pH,Humidity (%),Temperature (°C),Rainfall (mm),Crop Yield (kg/ha),District,Soil Type,Crop Name
172,132,152,5.8,85,23,1800,17200,Malda,Red & Laterite Soil,Sugarcane
174,134,154,5.8,85,23,1800,17400,Malda,Red & Laterite Soil,Sugarcane
176,136,156,5.8,85,23,1800,17600,Malda,Red & Laterite Soil,Sugarcane
178,138,158,5.8,85,23,1800,17800,Malda,Red & Laterite Soil,Sugarcane
180,140,160,5.8,85,23,1800,18000,Malda,Red & Laterite Soil,Sugarcane
182,142,162,5.8,85,23,1800,18200,Malda,Red & Laterite Soil,Sugarcane
184,144,164,5.8,85,23,1800,18400,Malda,Red & Laterite Soil,Sugarcane
186,146,166,5.8,85,23,1800,18600,Malda,Red & Laterite Soil,Sugarcane
188,148,168,5.8,85,23,1800,18800,Malda,Red & Laterite Soil,Sugarcane
190,150,170,5.8,85,23,1800,19000,Malda,Red & Laterite Soil,Sugarcane
192,152,172,5.8,85,23,1800,19200,Malda,Red & Laterite Soil,Sugarcane
194,154,174,5.8,85,23,1800,19400,Malda,Red & Laterite Soil,Sugarcane
196,156,176,5.8,85,23,1800,19600,Malda,Red & Laterite Soil,Sugarcane
198,158,178,5.8,85,23,1800,19800,Malda,Red & Laterite Soil,Sugarcane
200,160,180,5.8,85,23,1800,20000,Malda,Red & Laterite Soil,Sugarcane
50,30,40,5.8,82,28,1400,900,Purulia,Red Soil,Pearl Millet
48,28,38,5.6,80,26,1350,880,Purulia,Red Soil,Pearl Millet
55,35,45,6,84,30,1500,950,Purulia,Red Soil,Pearl Millet
52,32,42,5.9,83,29,1450,920,Purulia,Red Soil,Pearl Millet
58,38,48,6.2,86,32,1550,980,Purulia,Red Soil,Pearl Millet
56,36,46,6.1,85,31,1520,960,Purulia,Red Soil,Pearl Millet
54,34,44,6,84,30,1480,940,Purulia,Red Soil,Pearl Millet
60,40,50,6.3,87,33,1580,1000,Purulia,Red Soil,Pearl Millet
62,42,52,6.4,88,34,1620,1020,Purulia,Red Soil,Pearl Millet
65,45,55,6.5,89,35,1670,1050,Purulia,Red Soil,Pearl Millet
64,44,54,6.4,88,34,1650,1040,Purulia,Red Soil,Pearl Millet
68,48,58,6.7,91,37,1720,1080,Purulia,Red Soil,Pearl Millet
66,46,56,6.6,90,36,1690,1060,Purulia,Red Soil,Pearl Millet
70,50,60,6.8,92,38,1750,1100,Purulia,Red Soil,Pearl Millet
72,52,62,6.9,93,39,1780,1120,Purulia,Red Soil,Pearl Millet
75,55,65,7,94,40,1830,1150,Purulia,Red Soil,Pearl Millet
74,54,64,6.9,93,39,1810,1140,Purulia,Red Soil,Pearl Millet
78,58,68,7.2,96,42,1880,1180,Purulia,Red Soil,Pearl Millet
76,56,66,7.1,95,41,1850,1160,Purulia,Red Soil,Pearl Millet
80,60,70,7.3,97,43,1920,1200,Purulia,Red Soil,Pearl Millet
82,62,72,7.4,98,44,1960,1220,Purulia,Red Soil,Pearl Millet
85,65,75,7.5,99,45,2010,1250,Purulia,Red Soil,Pearl Millet
84,64,74,7.4,98,44,1990,1240,Purulia,Red Soil,Pearl Millet
88,68,78,7.7,101,47,2060,1280,Purulia,Red Soil,Pearl Millet
86,66,76,7.6,100,46,2030,1260,Purulia,Red Soil,Pearl Millet
90,70,80,7.8,102,48,2100,1300,Purulia,Red Soil,Pearl Millet
92,72,82,7.9,103,49,2140,1320,Purulia,Red Soil,Pearl Millet
95,75,85,8,104,50,2190,1350,Purulia,Red Soil,Pearl Millet
94,74,84,7.9,103,49,2170,1340,Purulia,Red Soil,Pearl Millet
98,78,88,8.2,106,52,2240,1380,Purulia,Red Soil,Pearl Millet
96,76,86,8.1,105,51,2210,1360,Purulia,Red Soil,Pearl Millet
100,80,90,8.3,107,53,2280,1400,Purulia,Red Soil,Pearl Millet
102,82,92,8.4,108,54,2320,1420,Purulia,Red Soil,Pearl Millet
105,85,95,8.5,109,55,2370,1450,Purulia,Red Soil,Pearl Millet
104,84,94,8.4,108,54,2350,1440,Purulia,Red Soil,Pearl Millet
108,88,98,8.7,111,57,2420,1480,Purulia,Red Soil,Pearl Millet
106,86,96,8.6,110,56,2390,1460,Purulia,Red Soil,Pearl Millet
110,90,100,8.8,112,58,2460,1500,Purulia,Red Soil,Pearl Millet
112,92,102,8.9,113,59,2500,1520,Purulia,Red Soil,Pearl Millet
115,95,105,9,114,60,2550,1550,Purulia,Red Soil,Pearl Millet
114,94,104,8.9,113,59,2530,1540,Purulia,Red Soil,Pearl Millet
118,98,108,9.2,116,62,2600,1580,Purulia,Red Soil,Pearl Millet
116,96,106,9.1,115,61,2570,1560,Purulia,Red Soil,Pearl Millet
120,100,110,9.3,117,63,2640,1600,Purulia,Red Soil,Pearl Millet
122,102,112,9.4,118,64,2680,1620,Purulia,Red Soil,Pearl Millet
125,105,115,9.5,119,65,2730,1650,Purulia,Red Soil,Pearl Millet
124,104,114,9.4,118,64,2710,1640,Purulia,Red Soil,Pearl Millet
128,108,118,9.7,121,67,2780,1680,Purulia,Red Soil,Pearl Millet
126,106,116,9.6,120,66,2750,1660,Purulia,Red Soil,Pearl Millet
130,110,120,9.8,122,68,2820,1700,Purulia,Red Soil,Pearl Millet
132,112,122,9.9,123,69,2860,1720,Purulia,Red Soil,Pearl Millet
135,115,125,10,124,70,2910,1750,Purulia,Red Soil,Pearl Millet
134,114,124,9.9,123,69,2890,1740,Purulia,Red Soil,Pearl Millet
138,118,128,10.2,126,72,2960,1780,Purulia,Red Soil,Pearl Millet
136,116,126,10.1,125,71,2930,1760,Purulia,Red Soil,Pearl Millet
140,120,130,10.3,127,73,3000,1800,Purulia,Red Soil,Pearl Millet
142,122,132,10.4,128,74,3040,1820,Purulia,Red Soil,Pearl Millet
145,125,135,10.5,129,75,3090,1850,Purulia,Red Soil,Pearl Millet
144,124,134,10.4,128,74,3070,1840,Purulia,Red Soil,Pearl Millet
148,128,138,10.7,131,77,3140,1880,Purulia,Red Soil,Pearl Millet
146,126,136,10.6,130,76,3110,1860,Purulia,Red Soil,Pearl Millet
150,130,140,10.8,132,78,3180,1900,Purulia,Red Soil,Pearl Millet
152,132,142,10.9,133,79,3220,1920,Purulia,Red Soil,Pearl Millet
155,135,145,11,134,80,3270,1950,Purulia,Red Soil,Pearl Millet
154,134,144,10.9,133,79,3250,1940,Purulia,Red Soil,Pearl Millet
158,138,148,11.2,136,82,3320,1980,Purulia,Red Soil,Pearl Millet
156,136,146,11.1,135,81,3290,1960,Purulia,Red Soil,Pearl Millet
160,140,150,11.3,137,83,3360,2000,Purulia,Red Soil,Pearl Millet
162,142,152,11.4,138,84,3400,2020,Purulia,Red Soil,Pearl Millet
165,145,155,11.5,139,85,3450,2050,Purulia,Red Soil,Pearl Millet
164,144,154,11.4,138,84,3430,2040,Purulia,Red Soil,Pearl Millet
168,148,158,11.7,141,87,3500,2080,Purulia,Red Soil,Pearl Millet
166,146,156,11.6,140,86,3470,2060,Purulia,Red Soil,Pearl Millet
170,150,160,11.8,142,88,3540,2100,Purulia,Red Soil,Pearl Millet
172,152,162,11.9,143,89,3580,2120,Purulia,Red Soil,Pearl Millet
175,155,165,12,144,90,3630,2150,Purulia,Red Soil,Pearl Millet
174,154,164,11.9,143,89,3610,2140,Purulia,Red Soil,Pearl Millet
178,158,168,12.2,146,92,3680,2180,Purulia,Red Soil,Pearl Millet
176,156,166,12.1,145,91,3650,2160,Purulia,Red Soil,Pearl Millet
180,160,170,12.3,147,93,3720,2200,Purulia,Red Soil,Pearl Millet
182,162,172,12.4,148,94,3760,2220,Purulia,Red Soil,Pearl Millet
185,165,175,12.5,149,95,3810,2250,Purulia,Red Soil,Pearl Millet
184,164,174,12.4,148,94,3790,2240,Purulia,Red Soil,Pearl Millet
188,168,178,12.7,151,97,3860,2280,Purulia,Red Soil,Pearl Millet
186,166,176,12.6,150,96,3830,2260,Purulia,Red Soil,Pearl Millet
190,170,180,12.8,152,98,3900,2300,Purulia,Red Soil,Pearl Millet
192,172,182,12.9,153,99,3940,2320,Purulia,Red Soil,Pearl Millet
195,175,185,13,154,100,3990,2350,Purulia,Red Soil,Pearl Millet
194,174,184,12.9,153,99,3970,2340,Purulia,Red Soil,Pearl Millet
198,178,188,13.2,156,102,4040,2380,Purulia,Red Soil,Pearl Millet
196,176,186,13.1,155,101,4010,2360,Purulia,Red Soil,Pearl Millet
200,180,190,13.3,157,103,4080,2400,Purulia,Red Soil,Pearl Millet
202,182,192,13.4,158,104,4120,2420,Purulia,Red Soil,Pearl Millet
205,185,195,13.5,159,105,4170,2450,Purulia,Red Soil,Pearl Millet
204,184,194,13.4,158,104,4150,2440,Purulia,Red Soil,Pearl Millet
208,188,198,13.7,161,107,4220,2480,Purulia,Red Soil,Pearl Millet
206,186,196,13.6,160,106,4190,2460,Purulia,Red Soil,Pearl Millet
210,190,200,13.8,162,108,4260,2500,Purulia,Red Soil,Pearl Millet
212,192,202,13.9,163,109,4300,2520,Purulia,Red Soil,Pearl Millet
215,195,205,14,164,110,4350,2550,Purulia,Red Soil,Pearl Millet
214,194,204,13.9,163,109,4330,2540,Purulia,Red Soil,Pearl Millet
218,198,208,14.2,166,112,4400,2580,Purulia,Red Soil,Pearl Millet
216,196,206,14.1,165,111,4370,2560,Purulia,Red Soil,Pearl Millet
220,200,210,14.3,167,113,4440,2600,Purulia,Red Soil,Pearl Millet
222,202,212,14.4,168,114,4480,2620,Purulia,Red Soil,Pearl Millet
225,205,215,14.5,169,115,4530,2650,Purulia,Red Soil,Pearl Millet
224,204,214,14.4,168,114,4510,2640,Purulia,Red Soil,Pearl Millet
228,208,218,14.7,171,117,4580,2680,Purulia,Red Soil,Pearl Millet
226,206,216,14.6,170,116,4550,2660,Purulia,Red Soil,Pearl Millet
230,210,220,14.8,172,118,4620,2700,Purulia,Red Soil,Pearl Millet
232,212,222,14.9,173,119,4660,2720,Purulia,Red Soil,Pearl Millet
235,215,225,15,174,120,4710,2750,Purulia,Red Soil,Pearl Millet
234,214,224,14.9,173,119,4690,2740,Purulia,Red Soil,Pearl Millet
238,218,228,15.2,176,122,4760,2780,Purulia,Red Soil,Pearl Millet
236,216,226,15.1,175,121,4730,2760,Purulia,Red Soil,Pearl Millet
240,220,230,15.3,177,123,4800,2800,Purulia,Red Soil,Pearl Millet
242,222,232,15.4,178,124,4840,2820,Purulia,Red Soil,Pearl Millet
245,225,235,15.5,179,125,4890,2850,Purulia,Red Soil,Pearl Millet
244,224,234,15.4,178,124,4870,2840,Purulia,Red Soil,Pearl Millet
248,228,238,15.7,181,127,4940,2880,Purulia,Red Soil,Pearl Millet
246,226,236,15.6,180,126,4910,2860,Purulia,Red Soil,Pearl Millet
250,230,240,15.8,182,128,4980,2900,Purulia,Red Soil,Pearl Millet
252,232,242,15.9,183,129,5020,2920,Purulia,Red Soil,Pearl Millet
255,235,245,16,184,130,5070,2950,Purulia,Red Soil,Pearl Millet
254,234,244,15.9,183,129,5050,2940,Purulia,Red Soil,Pearl Millet
258,238,248,16.2,186,132,5120,2980,Purulia,Red Soil,Pearl Millet
256,236,246,16.1,185,131,5090,2960,Purulia,Red Soil,Pearl Millet
260,240,250,16.3,187,133,5160,3000,Purulia,Red Soil,Pearl Millet
262,242,252,16.4,188,134,5200,3020,Purulia,Red Soil,Pearl Millet
265,245,255,16.5,189,135,5250,3050,Purulia,Red Soil,Pearl Millet
264,244,254,16.4,188,134,5230,3040,Purulia,Red Soil,Pearl Millet
268,248,258,16.7,191,137,5300,3080,Purulia,Red Soil,Pearl Millet
266,246,256,16.6,190,136,5270,3060,Purulia,Red Soil,Pearl Millet
270,250,260,16.8,192,138,5340,3100,Purulia,Red Soil,Pearl Millet
272,252,262,16.9,193,139,5380,3120,Purulia,Red Soil,Pearl Millet
275,255,265,17,194,140,5430,3150,Purulia,Red Soil,Pearl Millet
274,254,264,16.9,193,139,5410,3140,Purulia,Red Soil,Pearl Millet
278,258,268,17.2,196,142,5480,3180,Purulia,Red Soil,Pearl Millet
276,256,266,17.1,195,141,5450,3160,Purulia,Red Soil,Pearl Millet
280,260,270,17.3,197,143,5520,3200,Purulia,Red Soil,Pearl Millet
282,262,272,17.4,198,144,5560,3220,Purulia,Red Soil,Pearl Millet
285,265,275,17.5,199,145,5610,3250,Purulia,Red Soil,Pearl Millet
284,264,274,17.4,198,144,5590,3240,Purulia,Red Soil,Pearl Millet
288,268,278,17.7,201,147,5660,3280,Purulia,Red Soil,Pearl Millet
286,266,276,17.6,200,146,5630,3260,Purulia,Red Soil,Pearl Millet
290,270,280,17.8,202,148,5700,3300,Purulia,Red Soil,Pearl Millet
292,272,282,17.9,203,149,5740,3320,Purulia,Red Soil,Pearl Millet
295,275,285,18,204,150,5790,3350,Purulia,Red Soil,Pearl Millet
294,274,284,17.9,203,149,5770,3340,Purulia,Red Soil,Pearl Millet
298,278,288,18.2,206,152,5840,3380,Purulia,Red Soil,Pearl Millet
296,276,286,18.1,205,151,5810,3360,Purulia,Red Soil,Pearl Millet
300,280,290,18.3,207,153,5880,3400,Purulia,Red Soil,Pearl Millet
302,282,292,18.4,208,154,5920,3420,Purulia,Red Soil,Pearl Millet
305,285,295,18.5,209,155,5970,3450,Purulia,Red Soil,Pearl Millet
304,284,294,18.4,208,154,5950,3440,Purulia,Red Soil,Pearl Millet
308,288,298,18.7,211,157,6020,3480,Purulia,Red Soil,Pearl Millet
306,286,296,18.6,210,156,5990,3460,Purulia,Red Soil,Pearl Millet
310,290,300,18.8,212,158,6060,3500,Purulia,Red Soil,Pearl Millet
312,292,302,18.9,213,159,6100,3520,Purulia,Red Soil,Pearl Millet
315,295,305,19,214,160,6150,3550,Purulia,Red Soil,Pearl Millet
314,294,304,18.9,213,159,6130,3540,Purulia,Red Soil,Pearl Millet
318,298,308,19.2,216,162,6200,3580,Purulia,Red Soil,Pearl Millet
316,296,306,19.1,215,161,6170,3560,Purulia,Red Soil,Pearl Millet
320,300,310,19.3,217,163,6240,3600,Purulia,Red Soil,Pearl Millet
45,20,30,5.7,79,24,1250,700,Purulia,Red Soil,Finger Millet
42,17,27,5.8,80,23,1175,635,Purulia,Red Soil,Finger Millet
48,22,32,5.9,81,25,1275,725,Purulia,Red Soil,Finger Millet
47,21,31,5.8,80,24,1260,710,Purulia,Red Soil,Finger Millet
50,24,34,6,82,26,1300,750,Purulia,Red Soil,Finger Millet
44,19,29,5.8,80,23,1225,690,Purulia,Red Soil,Finger Millet
52,26,36,6.1,83,27,1325,770,Purulia,Red Soil,Finger Millet
49,23,33,6,82,25,1285,730,Purulia,Red Soil,Finger Millet
55,28,38,6.2,84,28,1375,800,Purulia,Red Soil,Finger Millet
46,20,30,5.9,81,24,1240,705,Purulia,Red Soil,Finger Millet
60,32,42,6.3,85,30,1475,850,Purulia,Red Soil,Finger Millet
57,29,39,6.2,83,28,1400,820,Purulia,Red Soil,Finger Millet
62,34,44,6.4,86,31,1525,880,Purulia,Red Soil,Finger Millet
58,30,40,6.3,84,29,1425,830,Purulia,Red Soil,Finger Millet
65,37,47,6.5,87,32,1600,920,Purulia,Red Soil,Finger Millet
63,35,45,6.4,86,31,1550,890,Purulia,Red Soil,Finger Millet
68,40,50,6.6,88,34,1700,970,Purulia,Red Soil,Finger Millet
66,38,48,6.5,87,33,1650,940,Purulia,Red Soil,Finger Millet
70,42,52,6.7,89,35,1775,1010,Purulia,Red Soil,Finger Millet
72,44,54,6.8,90,36,1825,1050,Purulia,Red Soil,Finger Millet
75,47,57,6.9,91,37,1925,1100,Purulia,Red Soil,Finger Millet
78,50,60,7,92,38,2025,1150,Purulia,Red Soil,Finger Millet
80,52,62,7.1,93,39,2075,1190,Purulia,Red Soil,Finger Millet
82,54,64,7.2,94,40,2125,1230,Purulia,Red Soil,Finger Millet
85,57,67,7.3,95,41,2225,1280,Purulia,Red Soil,Finger Millet
88,60,70,7.4,96,42,2325,1330,Purulia,Red Soil,Finger Millet
90,62,72,7.5,97,43,2375,1370,Purulia,Red Soil,Finger Millet
92,64,74,7.6,98,44,2425,1410,Purulia,Red Soil,Finger Millet
95,67,77,7.7,99,45,2525,1460,Purulia,Red Soil,Finger Millet
98,70,80,7.8,100,46,2625,1510,Purulia,Red Soil,Finger Millet
100,72,82,7.9,101,47,2675,1550,Purulia,Red Soil,Finger Millet
102,74,84,8,102,48,2725,1590,Purulia,Red Soil,Finger Millet
105,77,87,8.1,103,49,2825,1640,Purulia,Red Soil,Finger Millet
108,80,90,8.2,104,50,2925,1690,Purulia,Red Soil,Finger Millet
110,82,92,8.3,105,51,2975,1730,Purulia,Red Soil,Finger Millet
112,84,94,8.4,106,52,3025,1770,Purulia,Red Soil,Finger Millet
115,87,97,8.5,107,53,3125,1820,Purulia,Red Soil,Finger Millet
118,90,100,8.6,108,54,3225,1870,Purulia,Red Soil,Finger Millet
120,92,102,8.7,109,55,3275,1910,Purulia,Red Soil,Finger Millet
122,94,104,8.8,110,56,3325,1950,Purulia,Red Soil,Finger Millet
125,97,107,8.9,111,57,3425,2000,Purulia,Red Soil,Finger Millet
128,100,110,9,112,58,3525,2050,Purulia,Red Soil,Finger Millet
130,102,112,9.1,113,59,3575,2090,Purulia,Red Soil,Finger Millet
132,104,114,9.2,114,60,3625,2130,Purulia,Red Soil,Finger Millet
135,107,117,9.3,115,61,3725,2180,Purulia,Red Soil,Finger Millet
138,110,120,9.4,116,62,3825,2230,Purulia,Red Soil,Finger Millet
140,112,122,9.5,117,63,3875,2270,Purulia,Red Soil,Finger Millet
142,114,124,9.6,118,64,3925,2310,Purulia,Red Soil,Finger Millet
145,117,127,9.7,119,65,4025,2360,Purulia,Red Soil,Finger Millet
148,120,130,9.8,120,66,4125,2410,Purulia,Red Soil,Finger Millet
150,122,132,9.9,121,67,4175,2450,Purulia,Red Soil,Finger Millet
155,125,135,10,122,68,4275,2500,Purulia,Red Soil,Finger Millet
158,128,138,10.1,123,69,4375,2550,Purulia,Red Soil,Finger Millet
160,130,140,10.2,124,70,4425,2590,Purulia,Red Soil,Finger Millet
162,132,142,10.3,125,71,4475,2630,Purulia,Red Soil,Finger Millet
165,135,145,10.4,126,72,4575,2680,Purulia,Red Soil,Finger Millet
168,138,148,10.5,127,73,4675,2730,Purulia,Red Soil,Finger Millet
170,140,150,10.6,128,74,4725,2770,Purulia,Red Soil,Finger Millet
172,142,152,10.7,129,75,4775,2810,Purulia,Red Soil,Finger Millet
175,145,155,10.8,130,76,4875,2860,Purulia,Red Soil,Finger Millet
178,148,158,10.9,131,77,4975,2910,Purulia,Red Soil,Finger Millet
180,150,160,11,132,78,5025,2950,Purulia,Red Soil,Finger Millet
182,152,162,11.1,133,79,5075,2990,Purulia,Red Soil,Finger Millet
185,155,165,11.2,134,80,5175,3040,Purulia,Red Soil,Finger Millet
188,158,168,11.3,135,81,5275,3090,Purulia,Red Soil,Finger Millet
190,160,170,11.4,136,82,5325,3130,Purulia,Red Soil,Finger Millet
192,162,172,11.5,137,83,5375,3170,Purulia,Red Soil,Finger Millet
195,165,175,11.6,138,84,5475,3220,Purulia,Red Soil,Finger Millet
198,168,178,11.7,139,85,5575,3270,Purulia,Red Soil,Finger Millet
200,170,180,11.8,140,86,5625,3310,Purulia,Red Soil,Finger Millet
202,172,182,11.9,141,87,5675,3350,Purulia,Red Soil,Finger Millet
205,175,185,12,142,88,5775,3400,Purulia,Red Soil,Finger Millet
208,178,188,12.1,143,89,5875,3450,Purulia,Red Soil,Finger Millet
210,180,190,12.2,144,90,5925,3490,Purulia,Red Soil,Finger Millet
212,182,192,12.3,145,91,5975,3530,Purulia,Red Soil,Finger Millet
215,185,195,12.4,146,92,6075,3580,Purulia,Red Soil,Finger Millet
218,188,198,12.5,147,93,6175,3630,Purulia,Red Soil,Finger Millet
220,190,200,12.6,148,94,6225,3670,Purulia,Red Soil,Finger Millet
222,192,202,12.7,149,95,6275,3710,Purulia,Red Soil,Finger Millet
225,195,205,12.8,150,96,6375,3760,Purulia,Red Soil,Finger Millet
228,198,208,12.9,151,97,6475,3810,Purulia,Red Soil,Finger Millet
230,200,210,13,152,98,6525,3850,Purulia,Red Soil,Finger Millet
232,202,212,13.1,153,99,6575,3890,Purulia,Red Soil,Finger Millet
235,205,215,13.2,154,100,6675,3940,Purulia,Red Soil,Finger Millet
238,208,218,13.3,155,101,6775,3990,Purulia,Red Soil,Finger Millet
240,210,220,13.4,156,102,6825,4030,Purulia,Red Soil,Finger Millet
242,212,222,13.5,157,103,6875,4070,Purulia,Red Soil,Finger Millet
245,215,225,13.6,158,104,6975,4120,Purulia,Red Soil,Finger Millet
248,218,228,13.7,159,105,7075,4170,Purulia,Red Soil,Finger Millet
250,220,230,13.8,160,106,7125,4210,Purulia,Red Soil,Finger Millet
252,222,232,13.9,161,107,7175,4250,Purulia,Red Soil,Finger Millet
255,225,235,14,162,108,7275,4300,Purulia,Red Soil,Finger Millet
258,228,238,14.1,163,109,7375,4350,Purulia,Red Soil,Finger Millet
260,230,240,14.2,164,110,7425,4390,Purulia,Red Soil,Finger Millet
40,25,35,5.9,78,27,1150,580,Purulia,Red Soil,Sorghum (Jowar)
45,30,40,6.1,80,28,1250,620,Purulia,Red Soil,Sorghum (Jowar)
38,23,33,5.8,77,26,1100,560,Purulia,Red Soil,Sorghum (Jowar)
42,28,37,6,79,27,1200,600,Purulia,Red Soil,Sorghum (Jowar)
36,22,32,5.7,76,25,1050,540,Purulia,Red Soil,Sorghum (Jowar)
50,35,45,6.2,82,29,1300,650,Purulia,Red Soil,Sorghum (Jowar)
55,40,50,6.4,84,30,1400,700,Purulia,Red Soil,Sorghum (Jowar)
48,33,43,6.1,81,28,1250,630,Purulia,Red Soil,Sorghum (Jowar)
52,38,48,6.3,83,29,1350,670,Purulia,Red Soil,Sorghum (Jowar)
46,31,41,6,80,27,1200,610,Purulia,Red Soil,Sorghum (Jowar)
60,45,55,6.5,86,31,1450,725,Purulia,Red Soil,Sorghum (Jowar)
65,50,60,6.7,88,32,1550,775,Purulia,Red Soil,Sorghum (Jowar)
58,43,53,6.4,85,30,1400,700,Purulia,Red Soil,Sorghum (Jowar)
62,48,58,6.6,87,31,1500,750,Purulia,Red Soil,Sorghum (Jowar)
56,41,51,6.3,84,29,1350,675,Purulia,Red Soil,Sorghum (Jowar)
70,55,65,6.8,90,33,1600,800,Purulia,Red Soil,Sorghum (Jowar)
75,60,70,7,92,34,1700,850,Purulia,Red Soil,Sorghum (Jowar)
68,53,63,6.7,89,32,1550,775,Purulia,Red Soil,Sorghum (Jowar)
72,58,68,6.9,91,33,1650,825,Purulia,Red Soil,Sorghum (Jowar)
66,51,61,6.6,88,31,1500,750,Purulia,Red Soil,Sorghum (Jowar)
80,65,75,7.1,94,35,1800,900,Purulia,Red Soil,Sorghum (Jowar)
85,70,80,7.3,96,36,1900,950,Purulia,Red Soil,Sorghum (Jowar)
78,63,73,7,93,34,1700,850,Purulia,Red Soil,Sorghum (Jowar)
82,68,78,7.2,95,35,1800,900,Purulia,Red Soil,Sorghum (Jowar)
76,61,71,6.9,92,33,1650,825,Purulia,Red Soil,Sorghum (Jowar)
90,75,85,7.5,100,37,2000,1000,Purulia,Red Soil,Sorghum (Jowar)
95,80,90,7.7,102,38,2100,1050,Purulia,Red Soil,Sorghum (Jowar)
88,73,83,7.4,99,36,1950,975,Purulia,Red Soil,Sorghum (Jowar)
92,78,88,7.6,101,37,2050,1025,Purulia,Red Soil,Sorghum (Jowar)
86,71,81,7.3,98,35,1900,950,Purulia,Red Soil,Sorghum (Jowar)
100,85,95,7.8,104,39,2200,1100,Purulia,Red Soil,Sorghum (Jowar)
105,90,100,8,106,40,2300,1150,Purulia,Red Soil,Sorghum (Jowar)
98,83,93,7.6,103,38,2150,1075,Purulia,Red Soil,Sorghum (Jowar)
102,88,98,7.9,105,39,2250,1125,Purulia,Red Soil,Sorghum (Jowar)
96,81,91,7.7,102,37,2100,1050,Purulia,Red Soil,Sorghum (Jowar)
110,95,105,8.2,108,41,2400,1200,Purulia,Red Soil,Sorghum (Jowar)
115,100,110,8.4,110,42,2500,1250,Purulia,Red Soil,Sorghum (Jowar)
108,93,103,8.1,107,40,2350,1175,Purulia,Red Soil,Sorghum (Jowar)
112,98,108,8.3,109,41,2450,1225,Purulia,Red Soil,Sorghum (Jowar)
106,91,101,8,106,39,2300,1150,Purulia,Red Soil,Sorghum (Jowar)
120,105,115,8.6,112,43,2600,1300,Purulia,Red Soil,Sorghum (Jowar)
125,110,120,8.8,114,44,2700,1350,Purulia,Red Soil,Sorghum (Jowar)
118,103,113,8.5,111,42,2550,1275,Purulia,Red Soil,Sorghum (Jowar)
122,108,118,8.7,113,43,2650,1325,Purulia,Red Soil,Sorghum (Jowar)
116,101,111,8.4,110,41,2500,1250,Purulia,Red Soil,Sorghum (Jowar)
130,115,125,8.9,116,45,2800,1400,Purulia,Red Soil,Sorghum (Jowar)
135,120,130,9.1,118,46,2900,1450,Purulia,Red Soil,Sorghum (Jowar)
128,113,123,8.8,115,44,2750,1375,Purulia,Red Soil,Sorghum (Jowar)
132,118,128,9,117,45,2850,1425,Purulia,Red Soil,Sorghum (Jowar)
126,111,121,8.6,112,43,2600,1300,Purulia,Red Soil,Sorghum (Jowar)
140,125,135,9.2,120,47,3000,1500,Purulia,Red Soil,Sorghum (Jowar)
145,130,140,9.4,122,48,3100,1550,Purulia,Red Soil,Sorghum (Jowar)
138,123,133,9.1,119,46,2950,1475,Purulia,Red Soil,Sorghum (Jowar)
142,128,138,9.3,121,47,3050,1525,Purulia,Red Soil,Sorghum (Jowar)
136,121,131,9,118,45,2900,1450,Purulia,Red Soil,Sorghum (Jowar)
150,135,145,9.5,124,49,3150,1575,Purulia,Red Soil,Sorghum (Jowar)
155,140,150,9.7,126,50,3250,1625,Purulia,Red Soil,Sorghum (Jowar)
148,133,143,9.4,123,48,3100,1550,Purulia,Red Soil,Sorghum (Jowar)
152,138,148,9.6,125,49,3200,1600,Purulia,Red Soil,Sorghum (Jowar)
146,131,141,9.3,122,47,3050,1525,Purulia,Red Soil,Sorghum (Jowar)
160,145,155,9.8,128,51,3350,1675,Purulia,Red Soil,Sorghum (Jowar)
165,150,160,10,130,52,3450,1725,Purulia,Red Soil,Sorghum (Jowar)
158,143,153,9.7,127,50,3250,1625,Purulia,Red Soil,Sorghum (Jowar)
162,148,158,9.9,129,51,3350,1675,Purulia,Red Soil,Sorghum (Jowar)
156,141,151,9.6,126,49,3200,1600,Purulia,Red Soil,Sorghum (Jowar)
170,155,165,10.1,132,53,3550,1775,Purulia,Red Soil,Sorghum (Jowar)
175,160,170,10.3,134,54,3650,1825,Purulia,Red Soil,Sorghum (Jowar)
168,153,163,10,131,52,3450,1725,Purulia,Red Soil,Sorghum (Jowar)
172,158,168,10.2,133,53,3550,1775,Purulia,Red Soil,Sorghum (Jowar)
166,151,161,9.9,130,51,3350,1675,Purulia,Red Soil,Sorghum (Jowar)
180,165,175,10.4,136,55,3750,1875,Purulia,Red Soil,Sorghum (Jowar)
185,170,180,10.6,138,56,3850,1925,Purulia,Red Soil,Sorghum (Jowar)
178,163,173,10.3,135,54,3650,1825,Purulia,Red Soil,Sorghum (Jowar)
182,168,178,10.5,137,55,3750,1875,Purulia,Red Soil,Sorghum (Jowar)
176,161,171,10.2,134,53,3550,1775,Purulia,Red Soil,Sorghum (Jowar)
190,175,185,10.7,140,57,3950,1975,Purulia,Red Soil,Sorghum (Jowar)
195,180,190,10.9,142,58,4050,2025,Purulia,Red Soil,Sorghum (Jowar)
188,173,183,10.6,139,56,3850,1925,Purulia,Red Soil,Sorghum (Jowar)
192,178,188,10.8,141,57,3950,1975,Purulia,Red Soil,Sorghum (Jowar)
186,171,181,10.5,138,55,3750,1875,Purulia,Red Soil,Sorghum (Jowar)
